"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\dashboard\data\global_memory.py", "Python", 6, 0, 2, 8
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\dashboard\global_controls\custom_button.py", "Python", 26, 0, 4, 30
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\dashboard\global_controls\menu_control.py", "Python", 145, 2, 13, 160
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\dashboard\main.py", "Python", 33, 0, 10, 43
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\dashboard\pages\dashboard_page\controls\header_control.py", "Python", 73, 0, 9, 82
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\dashboard\pages\dashboard_page\controls\line_chart.py", "Python", 135, 1, 13, 149
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\dashboard\pages\dashboard_page\controls\top_containers.py", "Python", 64, 0, 8, 72
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\dashboard\pages\dashboard_page\dashboard_page.py", "Python", 60, 0, 5, 65
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\dashboard\pages\home_page\home_page.py", "Python", 24, 0, 5, 29
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\dashboard\theme\theme.py", "Python", 76, 2, 16, 94
"Total", "-", 642, 5, 85, 732